"conversion_id","offer_id","status","sub1","sub2","revenue","time_utc"
"e984f954d6484267aa885ab0d49ce82c",,,"llllico","","32","21/10/2025 13:02:59"
"27bf355349624f8eb532b13b3ffecced",,,"bad","","32","21/10/2025 13:04:04"
"e3cf8f1856a84765b4f2e23203e0243d",,,"llico","","32","21/10/2025 13:07:28"
"b9aff46a33404f43a96538e49b08c3b3",,,"llllico","","32","21/10/2025 13:16:19"
"975653230e0f417eb47448c4f4bba666",,,"lllico","","32","21/10/2025 13:55:44"
"648b46f4b0ec4d12a98503c9ce0b74b0",,,"lllico","","32","21/10/2025 13:56:20"
"36b34b696be94f0f989c151d00d5f488",,,"lllico","","32","21/10/2025 13:56:50"
"672c710b88164e64b48523aa90fbb6e2",,,"ran","","32","21/10/2025 14:18:53"
"d25ff3d130dc4bdc86a5d39e50c3c98c",,,"bad","","32","21/10/2025 14:24:39"
"84225aaa08ea4da5847d73e261cd3858",,,"tito","","32","21/10/2025 14:38:19"
"132c4d9731a74fc2ad6c6f21612391ad",,,"kel","","32","21/10/2025 14:38:22"
"9dcc50b66bad4c268aa91cb7c6e63c38",,,"llllico","","32","21/10/2025 14:38:23"
"015cbbf1c5b643e197f1c34101288941",,,"elon","","32","21/10/2025 14:41:18"
"941811e35a4d44bfb7da4f851db5ec2d",,,"llllico","","32","21/10/2025 14:42:10"
"9a8182c616c946f89bc4e5ffa607b89a",,,"lllico","","32","21/10/2025 14:45:25"
"d2236671126a48f68f6f0f8d4501003c",,,"bad","","32","21/10/2025 14:47:49"
"0a54d1798db94c93b2b5cef00f596aff",,,"bad","","32","21/10/2025 14:47:51"
"6eebf80f0e0e42bab56d9932477016e9",,,"bad","","32","21/10/2025 14:48:37"
"2a50b0e237bf419da8a67fe9f71309dd",,,"bad","","32","21/10/2025 14:49:53"
"694e083d0f6647e99c7793d340daee1b",,,"bad","","32","21/10/2025 14:51:07"
"a8c8eba367f54544be78805a93bdf700",,,"bad","","32","21/10/2025 14:51:41"
